is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,name,email,phone-number,credit_card
1,76,2015,July,28,7,0,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient-Party,76.5,0,2,Canceled,6/17/2015,Rebecca Gilbert,Gilbert.Rebecca18@xfinity.com,942-624-7723,************3101
1,76,2015,July,28,7,0,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient-Party,76.5,0,1,Canceled,6/17/2015,James Mason,James.Mason@yahoo.com,903-614-6954,************7536
1,79,2015,July,28,7,0,3,2,0,0,BB,PRT,Complementary,TA/TO,0,0,0,A,A,0,No Deposit,,,0,Transient,37.33,0,1,Canceled,6/16/2015,Todd Mendez,TMendez@protonmail.com,953-755-9955,************6855
1,61,2015,July,28,7,0,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,76.5,0,1,Canceled,6/29/2015,Jesus Wilcox,Jesus.W73@aol.com,545-280-0769,************4639
1,55,2015,July,28,7,0,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,,0,Transient-Party,90,0,2,Canceled,6/27/2015,Michelle Mccann,Michelle.M46@xfinity.com,789-895-7810,************8617
1,63,2015,July,28,7,2,5,2,0,0,BB,PRT,Direct,Direct,0,0,0,B,B,0,No Deposit,,,0,Transient-Party,45,0,1,Canceled,7/7/2015,Jennifer Moore,JMoore57@yandex.com,372-709-8216,************1208
1,63,2015,July,28,7,2,5,2,0,0,BB,PRT,Direct,Direct,0,0,0,B,B,2,No Deposit,,,0,Transient-Party,45,0,1,Canceled,7/7/2015,William Harvey,William_Harvey91@comcast.net,169-703-8035,************1456
1,77,2015,July,28,7,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8,,0,Transient,76.5,0,0,Canceled,7/7/2015,Caitlin Bradshaw,Bradshaw.Caitlin56@outlook.com,335-474-2952,************3048
0,54,2015,July,28,7,2,8,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,,0,Transient,62.37,0,0,Check-Out,7/17/2015,Kendra Davis,Kendra_D@yahoo.com,978-340-8056,************6142
1,90,2015,July,28,7,5,15,1,0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,11,,0,Transient,48.6,0,0,Canceled,4/8/2015,Tiffany Smith DDS,Tiffany_DDS@mail.com,325-111-5805,************7069
1,90,2015,July,28,7,5,15,1,0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,11,,0,Transient,48.6,0,0,Canceled,4/11/2015,Carlos Clayton,CarlosClayton@gmail.com,682-057-0743,************3891
1,117,2015,July,28,7,5,15,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,11,,0,Transient,48.6,0,0,Canceled,4/8/2015,Robin Brown,Brown.Robin@verizon.com,877-570-7914,************4791
0,6,2015,July,28,8,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1,,0,Transient-Party,62,0,0,Check-Out,7/10/2015,Katie Schroeder,Katie.S@xfinity.com,264-227-4699,************4972
1,105,2015,July,28,8,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,76.5,0,1,Canceled,4/5/2015,William Melendez,William_Melendez@gmail.com,768-988-7679,************6107
0,51,2015,July,28,8,1,4,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,27,,0,Transient,67.5,0,0,Check-Out,7/13/2015,William Richardson,William_Richardson@gmail.com,271-831-2335,************4046
1,97,2015,July,28,8,1,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,76.5,0,2,Canceled,6/29/2015,Richard Rogers,Rogers_Richard@mail.com,304-160-9961,************1436
0,72,2015,July,28,8,1,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8,,0,Transient,76.5,0,0,Check-Out,7/13/2015,James Rivera,James_Rivera94@yahoo.com,735-088-3322,************3001
1,72,2015,July,28,8,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,76.5,0,1,Canceled,6/25/2015,Sarah Best,Best.Sarah@aol.com,344-275-7799,************5697
1,61,2015,July,28,8,2,8,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8,,0,Transient,68.85,0,0,Canceled,5/14/2015,John Fitzgerald,John_F@outlook.com,481-467-7930,************5508
1,63,2015,July,28,8,2,8,2,0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8,,0,Transient,68.85,0,0,Canceled,5/7/2015,Jasmine Williams,Jasmine_Williams23@gmail.com,875-041-9630,************9059
1,24,2015,July,28,9,0,2,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,15,,0,Transient,100,0,0,Canceled,6/15/2015,Laura Miles,Laura_M93@yahoo.com,180-009-7229,************5266
1,89,2015,July,28,9,0,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,76.5,0,1,Canceled,6/27/2015,Charles Rose,CRose19@outlook.com,456-830-3168,************1619
0,92,2015,July,28,9,2,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,,0,Transient,58.9,0,1,Check-Out,7/14/2015,Cheryl Zuniga DVM,Cheryl_D@verizon.com,898-229-3675,************9564
1,84,2015,July,28,10,0,1,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1,,0,Transient,63.75,0,0,Canceled,6/30/2015,Vicki Ward,VWard@yahoo.com,311-422-3275,************6779
1,65,2015,July,28,10,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,68.85,0,1,Canceled,7/1/2015,Tracy Walker,Tracy_W55@att.com,879-430-8076,************1265
1,85,2015,July,28,10,1,2,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,14,,0,Transient,76.5,0,0,Canceled,7/10/2015,Bradley Watson,BWatson@att.com,150-630-3540,************8245
1,115,2015,July,28,10,2,3,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,68,0,2,Canceled,5/25/2015,Steven Hughes,StevenHughes@xfinity.com,915-683-5864,************4284
0,67,2015,July,28,10,2,3,2,2,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,22,,0,Transient,106.25,0,0,Check-Out,7/15/2015,Michael Mitchell,Michael.M@comcast.net,366-579-1038,************9573
1,87,2015,July,28,10,3,7,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,,0,Transient,58.9,0,1,Canceled,6/1/2015,Anna Ramos,Ramos_Anna@att.com,284-162-0783,************4912
1,87,2015,July,28,10,3,7,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,,0,Transient,58.9,0,1,Canceled,6/1/2015,Melissa Winters,MWinters@xfinity.com,239-370-8560,************5683
0,71,2015,July,28,11,0,1,1,0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,11,,0,Transient,51.96,0,0,Check-Out,7/12/2015,Aaron Vang,Aaron.V@gmail.com,936-246-7953,************3397
0,3,2015,July,28,11,0,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,17,,0,Transient-Party,75,0,0,Check-Out,7/12/2015,Julie Wilson,JWilson@yandex.com,236-236-8552,************1387
0,71,2015,July,28,11,0,1,1,0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,11,,0,Transient,51.96,0,0,Check-Out,7/12/2015,Thomas Kim,Kim_Thomas47@comcast.net,186-664-4698,************2107
0,3,2015,July,28,11,0,1,3,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,17,,0,Transient-Party,104,0,0,Check-Out,7/12/2015,Amanda Gibson,Amanda.Gibson@protonmail.com,461-965-9488,************7070
1,109,2015,July,28,11,2,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,76.5,0,1,Canceled,6/27/2015,Brittany Sanchez,Brittany_Sanchez@protonmail.com,971-784-9190,************3002
0,96,2015,July,28,11,2,1,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,17,,0,Transient-Party,94.5,0,0,Check-Out,7/14/2015,John Wise,JohnWise@att.com,500-892-3024,************9269
0,96,2015,July,28,11,2,1,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,17,,0,Transient-Party,94.5,0,0,Check-Out,7/14/2015,Stephanie Thompson,SThompson97@comcast.net,844-418-3442,************3965
1,65,2015,July,28,11,2,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,76.5,0,1,Canceled,6/12/2015,Paul Johnson,Johnson.Paul@mail.com,284-131-4064,************9914
1,114,2015,July,28,11,2,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8,,0,Transient,76.5,0,0,Canceled,5/11/2015,Benjamin Tanner,BTanner@zoho.com,718-292-2544,************4200
0,96,2015,July,28,11,2,1,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,17,,0,Transient-Party,94.5,0,0,Check-Out,7/14/2015,Tiffany Fowler,Tiffany_Fowler44@zoho.com,892-841-1811,************5314
1,96,2015,July,28,11,2,1,2,0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,17,,0,Transient-Party,94.5,0,0,Canceled,6/23/2015,Jordan Scott,Jordan.Scott52@protonmail.com,257-438-3591,************8017
0,3,2015,July,28,11,2,1,3,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,17,,0,Transient-Party,138.5,0,0,Check-Out,7/14/2015,Kimberly Harrison,KimberlyHarrison@verizon.com,912-956-5938,************8323
0,61,2015,July,28,11,2,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,,0,Transient,55.96,0,0,Check-Out,7/14/2015,Bradley Gallegos,Bradley.G23@comcast.net,844-214-7467,************4924
0,96,2015,July,28,11,2,1,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,17,,0,Transient-Party,94.5,0,0,Check-Out,7/14/2015,Stefanie Hansen,Stefanie.H@mail.com,190-695-4475,************5378
0,96,2015,July,28,11,2,1,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,17,,0,Transient-Party,94.5,0,0,Check-Out,7/14/2015,Robert Rojas,Robert_Rojas@protonmail.com,296-909-1112,************9241
0,3,2015,July,28,11,2,1,1,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,17,,0,Transient-Party,72.5,0,0,Check-Out,7/14/2015,Patricia Weaver,Patricia_W@zoho.com,593-416-5173,************1689
1,96,2015,July,28,11,2,1,2,0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,17,,0,Transient-Party,94.5,0,0,Canceled,6/23/2015,Stephanie Wilson,Stephanie_W@outlook.com,669-554-4648,************4132
1,96,2015,July,28,11,2,1,2,0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,17,,0,Transient-Party,94.5,0,0,Canceled,6/23/2015,Taylor Marks,TaylorMarks@verizon.com,632-117-7232,************9800
0,96,2015,July,28,11,2,1,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,17,,0,Transient-Party,94.5,0,0,Check-Out,7/14/2015,Laura Morrow,Laura.M@verizon.com,114-031-3424,************5586
1,96,2015,July,28,11,2,1,2,0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,17,,0,Transient-Party,94.5,0,0,Canceled,6/23/2015,James Drake,Drake.James@att.com,281-352-2812,************5150
0,3,2015,July,28,11,2,1,1,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,17,,0,Transient-Party,72.5,0,0,Check-Out,7/14/2015,Isaiah Bishop,Bishop_Isaiah37@att.com,339-416-8999,************7318
0,96,2015,July,28,11,2,1,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,17,,0,Transient-Party,94.5,0,0,Check-Out,7/14/2015,Monica Mckinney,Monica_Mckinney@zoho.com,465-231-1327,************7900
1,96,2015,July,28,11,2,1,2,0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,17,,0,Transient-Party,94.5,0,0,Canceled,6/23/2015,Jasmine Perry,JasminePerry21@hotmail.com,550-388-4235,************1581
1,96,2015,July,28,11,2,1,2,0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,17,,0,Transient-Party,94.5,0,0,Canceled,6/23/2015,Tommy Johnson,Tommy_Johnson20@yahoo.com,419-149-5720,************5993
0,96,2015,July,28,11,2,1,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,17,,0,Transient-Party,94.5,0,0,Check-Out,7/14/2015,Brandi Scott,Brandi.S@gmail.com,905-586-4775,************3104
1,96,2015,July,28,11,2,1,2,0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,17,,0,Transient-Party,94.5,0,0,Canceled,6/23/2015,Tony Fernandez,TFernandez91@xfinity.com,614-680-2443,************1060
0,61,2015,July,28,11,2,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,,0,Transient,55.96,0,0,Check-Out,7/14/2015,Steven Ortiz,Ortiz_Steven28@gmail.com,418-847-1184,************9803
0,3,2015,July,28,11,2,1,1,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,17,,0,Transient-Party,72.5,0,0,Check-Out,7/14/2015,Evan White,Evan_W@att.com,640-106-2823,************4476
0,66,2015,July,28,11,2,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,,0,Transient,58.9,0,0,Check-Out,7/14/2015,Natasha Brock,Brock.Natasha@outlook.com,247-530-1098,************5676
0,96,2015,July,28,11,2,1,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,17,,0,Transient-Party,94.5,0,0,Check-Out,7/14/2015,Gabriel Nelson,Gabriel.Nelson@hotmail.com,427-105-2702,************9010
0,96,2015,July,28,11,2,1,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,17,,0,Transient-Party,94.5,0,0,Check-Out,7/14/2015,Troy Ortiz,TroyOrtiz@xfinity.com,698-524-3588,************5282
0,96,2015,July,28,11,2,1,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,17,,0,Transient-Party,94.5,0,0,Check-Out,7/14/2015,Felicia Hester,Felicia_H@aol.com,293-688-8768,************8249
0,96,2015,July,28,11,2,1,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,17,,0,Transient-Party,94.5,0,0,Check-Out,7/14/2015,Thomas Harris,Thomas_H73@verizon.com,472-005-8093,************9874
1,96,2015,July,28,11,2,1,2,0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,17,,0,Transient-Party,94.5,0,0,Canceled,6/23/2015,Erica Collins,Collins_Erica20@yandex.com,977-390-8328,************4892
